id,source,inappropriate_part,rewritten_part,issue,batch
417_v11_only_lm_317,"Just as an a parent may believe their life would be better if the foetus didn't exist, the U.S. may feel it more convenient if the nation of Iraq is a bloody mess.",the U.S. may feel it more convenient if the nation of Iraq is a bloody mess.,the U.S. may feel it more convenient if the nation of Iraq is a mess.,Hypocrites?:,1
90_v11_only_lm_72,Give me a break if i wanted to blow some shit up I wouldn't talk on the phone to make plans for it anyway.,if i wanted to blow some shit up,if I wanted to commit a violent act,How do you feel about the recent phone record ordeal?:,1
1005_v11_only_lm_771,And if you are going to be irresponsible dont let a new life die for it!,dont,don't,Pro choice vs pro life:,1
883_v11_only_lm_680,"So in order to get their Bills passed, they have to help pass someone else's Bill that is established there and knows how the system works; the Good Ole' Boy System, that is.",So in order to get their Bills passed,In order to get their bills passed,"Patriot act was passed unread, is anyone in congress of usa worth his or her salary ?:",1
788_v11_only_lm_610,FF sticks to world wide web consortiums standards much closer than IE ever did or will.,world wide web consortiums,World Wide Web Consortium,Firefox vs internet explorer:,1
513_v11_only_lm_392,I wouldn't care if I grew up and had lousy father even if he has no job or life and maybe even an alcohlic.,even if he has no job or life,"who was unemployed, struggled with life",Is it better to have a lousy father or to be fatherless:,1
400_v11_only_lm_290,"First of all, the Constitution does NOT guarantee the ""pursuit (or persuit) of happiness"".",pursuit (or persuit),pursuit,Why does the government have the right to enact 'morals' laws?:,1
1997_v11_only_lm_1513,Not only this but anything 'intrinsic' to that person is more to do with an environment which is outside of their control than something they choose or even genetics.,anything 'intrinsic' to that person,anything intrinsic to that person,Cmv: a person becomes homeless because they live in a society that creates homelessness and not because of anything intrinsic to that person:,1
330_v11_only_lm_245,"And you proved my point - ""species have certain characteristics and properties"" I noticed you didn't mention that their characteristics randomly change And by the way, I'm just wondering because I'm a curious person...",I noticed you didn't mention that their characteristics randomly change,I noticed you didn't mention that their characteristics can change,Evolution vs creation:,1
1462_v11_only_lm_1175,"If god loves everyone then y does he hate gays and the bible is just a book, have you ever wondered that the one cardinal who translated it changed some things to make ""god"" look good",then y,then why,Christianity or atheism:,1
120_v11_only_lm_88,$8B more!,$8B more!,$8 billion more!,Cmv: i think the tsa is useful in the modern day.:,1
94_v11_only_lm_82,And each new majority will bring its' own set of values.,And each new majority will bring its' own set of values.,And each new majority will bring its own set of values.,Should religion be involved in our human rights?:,1
371_v11_only_lm_270,"the idea that a mere belief difference can seal ones fate is beyond preposterous, its madness!!","the idea that a mere belief difference can seal ones fate is beyond preposterous, its madness!!","The idea that a mere belief difference can seal one's fate is beyond preposterous, it's madness.",Christianity or atheism:,1
774_v11_only_lm_595,"Gay men are discriminated against because they have no honor: romantic interest in men is for women only, and when an man participates he is ""lowering himself"" to a women's level.","and when an man participates he is ""lowering himself"" to a women's level","and when a man participates, he is seen as lowering himself",Do lesbians have it easier than gay men??   stance: lesbians are more socially accepted by straight people:,1
873_v11_only_lm_644,Thats just liberal ignorance.,Thats,That's,Gun control?:,1
1853_v11_only_lm_1415,Welfare means being forced to pay for your neighbor's new television.,Welfare means being forced to pay for your neighbor's new television,Welfare can be seen as forcing taxpayers to contribute to the expenses of their neighbors,Welfare: best system   stance: no welfare!:,1
94_v11_only_lm_75,Let me challenge you with a broader concept... ...do our Laws reflect our Morality....or does Morality stem from the Laws we make each other abide by?,...do our Laws reflect our Morality....or does Morality stem from the Laws we make each other abide by?,"Do our laws reflect our morality, or does morality stem from the laws we make each other abide by?",Should religion be involved in our human rights?:,1
2062_v11_only_lm_1556,is it then pro-life to have an abortion?,is it then pro-life to have an abortion?,Is it then pro-life to have an abortion?,Pro choice vs pro life:,1
727_v11_only_lm_541,"It has been proven to the satisfaction of many people, but there are some that are extremely hard to convince, for a variety of reasons.","It has been proven to the satisfaction of many people, but there are some that are extremely hard to convince, for a variety of reasons.","It has been proven to the satisfaction of many people, but some remain unconvinced for a variety of reasons.",It's been proven 9/11 is an inside job.?:,1
1457_v11_only_lm_1170,It's about tax breaks.,It's about tax breaks.,It's about tax benefits.,Gay marriage right or wrong:,1
785_v11_only_lm_599,"because your own clothes are coolio hoolio, and if you get to wear what you want its coolio hoolio",coolio hoolio,more enjoyable,Is the school uniform a good or bad idea:,1
1609_v11_only_lm_1251,"It should not be a political issue, because my personal, religious things should be separate from government regulation.","It should not be a political issue, because my personal, religious things should be separate from government regulation.","It should not be a political issue, because personal and religious matters should be separate from government regulation.",Gay marriage right or wrong:,1
1016_v11_only_lm_781,"Personal pursuit because you improve your self for others and the enviorment around you, and then advancing the common good, because the goods help you and others improve.",you improve your self for others and the enviorment around you,you improve yourself for others and the environment,Which type of endeavor is better a personal pursuit or advancing the common good:,1
18_v11_only_lm_20,Raffles had written his discovery wrongly as 29 February 1819.It was later corrected.,as 29 February 1819,"as February 29, 1819",William farquhar ought to be honoured as the rightful founder of singapore:,1
577_v11_only_lm_440,It's boring.,It's boring.,It's often boring.,What is the worst thing about being in jail?:,1
1462_v11_only_lm_1176,"If god loves everyone then y does he hate gays and the bible is just a book, have you ever wondered that the one cardinal who translated it changed some things to make ""god"" look good",y does he hate gays,does he hate gay people,Christianity or atheism:,1
1155_v11_only_lm_959,i remember the only country by whose fear alexander's army was afraid it was INDIA after just sixty years of independence INDIA is looked as the country to become the sixth member of security council of UN and it is also the country with a great development rate,i remember the only country by whose fear,I remember the only country whose fear,India has the potential to lead the world:,1
573_v11_only_lm_432,"However, I think the bigger problem is finding out who leaks this information, there are a lot of Clinton era hold-overs.",finding out who leaks this information,identifying those responsible for leaking sensitive information,Should newspapers that work against our war effort be tolerated?:,1
774_v11_only_lm_587,"In a society traditionally and, to be honest, still dominated by men, men's general consensus is more popular than women's general consensus, and I think we all know that a lot of men consider lesbians to be downright sexy, because there is no man in the picture to ruin the aesthetic.",men's general consensus is more popular than women's general consensus,men's opinions often hold more weight than women's,Do lesbians have it easier than gay men??   stance: lesbians are more socially accepted by straight people:,1
1154_v11_only_lm_951,"Same sex marrage can couse a lot of contriverse, it puts peoples life at risk in extrem cases gay marrage has caused so much trouble pepole has resulted in murder and sucied",Same sex marrage,Same-sex marriage,Gay marriage right or wrong:,1
371_v11_only_lm_268,I AM an atheist,I AM an atheist,I am an atheist.,Christianity or atheism:,1
1285_v11_only_lm_1065,But we won't know that because the bible does not mench porn because it did not exist during biblical times.,the bible,the Bible,Is porn wrong:,1
