a_id,user_id,post_id,post_text,annotation_date,result,issue,comments
1,2,371_base_model_244,this is my big problem with christianity: why is it about belief.,2025-12-20 07:39:48.926460,"{'post_id': '371_base_model_244', 'comments': '', 'post_text': 'this is my big problem with christianity: why is it about belief.', 'post_issue': 'Christianity or atheism:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other11', 'otherErrorQuestion4': 'other16', 'post_rewritten_part': 'its focus on belief.', 'post_inappropriate_part': 'why is it about belief.'}",Christianity or atheism:,
2,2,788_v11_only_lm_611,FF sticks to world wide web consortiums standards much closer than IE ever did or will.,2025-12-20 07:40:36.006661,"{'post_id': '788_v11_only_lm_611', 'comments': '', 'post_text': 'FF sticks to world wide web consortiums standards much closer than IE ever did or will.', 'post_issue': 'Firefox vs internet explorer:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other8', 'otherErrorQuestion3': 'other11', 'otherErrorQuestion4': 'other16', 'post_rewritten_part': 'standards than', 'post_inappropriate_part': 'standards much closer than'}",Firefox vs internet explorer:,
3,2,8_v11_only_lm_5,I thick that book are better than TV is it is better i can put you in a whole norther wold,2025-12-20 07:41:33.747693,"{'post_id': '8_v11_only_lm_5', 'comments': '', 'post_text': 'I thick that book are better than TV is it is better i can put you in a whole norther wold', 'post_issue': 'Tv is better than books:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other13', 'otherErrorQuestion4': 'other16', 'post_rewritten_part': 'can transport you to a different world', 'post_inappropriate_part': 'i can put you in a whole norther wold'}",Tv is better than books:,
4,2,916_50a_50ss_305,i think all monkeys and krackers shouldcreated equaly....but seperatly!,2025-12-20 07:42:07.775199,"{'post_id': '916_50a_50ss_305', 'comments': '', 'post_text': 'i think all monkeys and krackers shouldcreated equaly....but seperatly!', 'post_issue': 'Who gives society a bad name,,,black people or white people?   stance: black:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other6', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other16', 'post_rewritten_part': 'I think this is mostly due to the fact that Blacks are more severely impacted by law enforcement.', 'post_inappropriate_part': 'i think all monkeys and krackers shouldcreated equaly....but seperatly!'}","Who gives society a bad name,,,black people or white people?   stance: black:",
5,2,1909_v11_only_lm_1449,I choose pro-choice because I have the option to choose pro life.,2025-12-20 07:42:23.629925,"{'post_id': '1909_v11_only_lm_1449', 'comments': '', 'post_text': 'I choose pro-choice because I have the option to choose pro life.', 'post_issue': 'Pro choice vs pro life:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': 'I support pro-choice', 'post_inappropriate_part': 'I choose pro-choice'}",Pro choice vs pro life:,
6,2,735_v11_only_lm_552,I like very much the way you started: ALL RISE!,2025-12-20 07:42:46.900978,"{'post_id': '735_v11_only_lm_552', 'comments': '', 'post_text': 'I like very much the way you started: ALL RISE!', 'post_issue': 'All rise! i would never honor any earthly man, especially the crooked, hacks that we have as judges.?:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other19', 'post_rewritten_part': 'All rise!', 'post_inappropriate_part': 'ALL RISE!'}","All rise! i would never honor any earthly man, especially the crooked, hacks that we have as judges.?:",
7,2,709_base_model_498,"To answer your question and to refute the genius who compared captial punishment to abortion: The fact is, yes, there have been far too many instances where people have been put to death then later found innocent.",2025-12-20 07:43:07.231286,"{'post_id': '709_base_model_498', 'comments': '', 'post_text': 'To answer your question and to refute the genius who compared captial punishment to abortion: The fact is, yes, there have been far too many instances where people have been put to death then later found innocent.', 'post_issue': 'Should capital punishment be allowed?:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other11', 'otherErrorQuestion4': 'other16', 'post_rewritten_part': 'argument', 'post_inappropriate_part': 'genius'}",Should capital punishment be allowed?:,
8,2,1117_v11_only_lm_918,btw,2025-12-20 07:43:18.397910,"{'post_id': '1117_v11_only_lm_918', 'comments': '', 'post_text': 'btw', 'post_issue': 'Is porn wrong:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': 'By the way', 'post_inappropriate_part': 'btw'}",Is porn wrong:,
9,2,1977_v11_only_lm_1493,all those sleaseballs selling death deserve to be jobless.,2025-12-20 07:44:13.758897,"{'post_id': '1977_v11_only_lm_1493', 'comments': '', 'post_text': 'all those sleaseballs selling death deserve to be jobless.', 'post_issue': 'Will cigarettes finally become illegal?:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other9', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': 'Those selling cigarettes, who contribute to death, deserve to be held accountable.', 'post_inappropriate_part': 'all those sleaseballs selling death deserve to be jobless'}",Will cigarettes finally become illegal?:,
10,2,857_50a_50ss_259,People should stop being so against it.,2025-12-20 07:44:28.250309,"{'post_id': '857_50a_50ss_259', 'comments': '', 'post_text': 'People should stop being so against it.', 'post_issue': 'Gay marriage right or wrong:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': 'be more open-minded about', 'post_inappropriate_part': 'stop being so against'}",Gay marriage right or wrong:,
